notes,objectid,parentid,identifier,title,interviewee,lastname,firstname,interviewer,duration,transcriber,description,object_transcript,subject,archival_date,date,location,latitude,longitude,source,finding_aid,filename,type,format,signed_release,restrictions,creator,language,related_items,rights,rightsstatement,youtubeid,display_template,object_location,image_small,image_thumb
,hohp011,hohp008,juanita-zazueta-huerta-portrait,Photograph of Juanita Zazueta Huerta,Juanita Zazueta Huerta,Huerta,Juanita,,,,"Juanita Zazueta Huerta at home in Pocatello, 1992 (photo by Ana Pena).",,portraits;,1992,1992,"Boise, Idaho",43.616376,-116.201593,Idaho collection,,juanita-zazueta-huerta-portrait.jpg,Image;StillImage,image/jpeg,,,Idaho Commission on Hispanic Affairs;Idaho Humanities Council,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,https://www.lib.uidaho.edu/digital/objects/hohp/juanita-zazueta-huerta-portrait.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/small/juanita-zazueta-huerta-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/juanita-zazueta-huerta-portrait_th.jpg
,hohp012,,,Maria (Mary) R. Lopez,Maria (Mary) R. Lopez,Lopez,Maria (Mary) Rodriguez,Patricia McDaniel,,,Interview with Maria (Mary) R. Lopez,,Mexican American; military service; sanitoriums;discrimination; ethnicity; racial discrimination; cultural holidays; Hispanic American;,26 April 1991,1991-04-26,"Nampa, Idaho",43.58009383,-116.5611768,,,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-maria-rodriguez-lopez-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-maria-rodriguez-lopez-index_th.jpg
,hohp013,hohp012,mg491-1-1-maria-rodriguez-lopez-index,Maria (Mary) R. Lopez Oral History Interview Summary Tape Index,Maria Rodriguez Lopez,Lopez,Maria (Mary) Rodriguez,Patricia McDaniel,,,interview summary,,Mexican American; military service; sanitoriums;discrimination; ethnicity; racial discrimination; cultural holidays; Hispanic American;,26 April 1991,1991-04-26,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491-1-1-maria-rodriguez-lopez-index.pdf,Text,application/pdf,yes,no,,eng,https://content.libraries.wsu.edu/digital/collection/imls_3/id/582/rec/12,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491-1-1-maria-rodriguez-lopez-index.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-maria-rodriguez-lopez-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-maria-rodriguez-lopez-index_th.jpg
needs transcript,hohp014,hohp012,mg491_t11_lopezmaria,Maria (Mary) R. Lopez Oral History Interview Audio,Maria (Mary) R. Lopez,Lopez,Maria (Mary) R.,Patricia McDaniel,1:19:01,,Audio of interview between Maria Lopez and Patricia McDaniel.,,Hispanic American; Spanish (language); family life; communities (inhabited places); communities (social groups); childhood; marriage (social construct);,26 April 1991,1991-04-26,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t11_lopezmaria.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t11_lopezmaria.mp3,,
,hohp015,,,Thomas Murillo,Thomas Murillo,Murillo,Thomas,Angela Luckey,,,Interview with Thomas Murillo,,migrant workers; Mexican; Mexican American; Spanish (language); group identity; ethnicity; education; colleges (institutions); military service; discrimination; racial discrimination; Hispanic American;,13 May 1991,1991-05-13,"Pocatello, Idaho",42.8615307,-112.4582449,,,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-thomas-murillo-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-thomas-murillo-index_th.jpg
,hohp016,hohp015,mg491-1-1-thomas-murillo-index,Thomas Murillo Oral History Interview Summary Tape Index,Thomas Murillo,Murillo,Thomas,Angela Luckey,,,interview summary,,migrant workers; Mexican; Mexican American; Spanish (language); group identity; ethnicity; education; colleges (institutions); military service; discrimination; racial discrimination; Hispanic American;,13 May 1991,1991-05-13,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491-1-1-thomas-murillo-index.pdf,Text,application/pdf,yes,no,,eng,https://content.libraries.wsu.edu/digital/collection/imls_3/id/696/rec/1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491-1-1-thomas-murillo-index.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-thomas-murillo-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-thomas-murillo-index_th.jpg
,hohp017,hohp015,mg491_t13_murillothomas,Thomas Murillo Oral History Interview Audio,Thomas Murillo,Murillo,Thomas,Angela Luckey,2:08:35,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,Audio of interview between Thomas Murillo and Angela Luckey.,objects/mg491_t13_murillothomas.md,migrant workers; Mexican American; Spanish (language); group identity; ethnicity; education; colleges (institutions); military service; discrimination; racial discrimination; Hispanic American;,13 May 1991,1991-05-13,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t13_murillothomas.mp3,Sound,audio/mp3,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t13_murillothomas.mp3,,
,hohp018,,mg491_t16_penahenry,Henry Pena Oral History Interview Audio,Henry Pena,Pena,Henry,Martha Torrez,1:40:43,Transcribed by Otter.AI. Revised by Zoe Stave.,Audio of interview between Henry Pena and Martha Torrez.,objects/mg491_t16_penahenry.md,Mexican American; communities (social groups); family life; immigration; marriage (social construct); education; racial discrimination; Hispanic American;,16 March 1991,1991-03-16,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t16_penahenry.mp3,Sound,audio/mp3,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t16_penahenry.mp3,,
,hohp019,,,Rita Perez,Rita Perez,Perez,Rita,Rosa Rodriguez,,,Interview with Rita Perez,,Mexican American; immigration; communities (social groups); communities (inhabitied places); health care; health facilities; farming (activity or system); family life; Spanish (language); racial discrimination; depression (economic concept); Hispanic American; migrant workers; education;,25 August 1991,1991-08-25,"Idaho Falls, Idaho",43.49206,-112.0398889,,,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/rita-perez-family-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/rita-perez-family-portrait_th.jpg
,hohp020,hohp019,mg491_t18_perezrita,Rita Perez Oral History Interview Audio,Rita Perez,Perez,Rita,Rosa Rodriguez,1:43:18,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,Audio of interview between Rita Perez and Rosa Rodriguez.,objects/mg491_t18_perezrita.md,Mexican American; immigration; communities (social groups); communities (inhabitied places); health care; health facilities; farming (activity or system); family life; Spanish (language); racial discrimination; depression (economic concept); migrant workers; education; Hispanic American;,25 August 1991,1991-08-25,"Idaho Falls, Idaho",43.49206,-112.0398889,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t18_perezrita.mp3,Sound,audio/mp3,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t18_perezrita.mp3,,
,hohp021,hohp019,rita-perez-family-portrait,Photograph of the Perez Family,Rita Perez,Perez,Rita,,,,Rita Perez sits second from right on her father's knee (photo courtesy Juanita Castillo).,,portraits;,1992,1992,"Boise, Idaho",43.616376,-116.201593,Idaho collection,https://archiveswest.orbiscascade.org/ark:80444/xv327327,rita-perez-family-portrait.jpg,Image;StillImage,image/jpeg,,,Idaho Commission on Hispanic Affairs;Idaho Humanities Council,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,https://www.lib.uidaho.edu/digital/objects/hohp/rita-perez-family-portrait.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/small/rita-perez-family-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/rita-perez-family-portrait_th.jpg
,hohp022,,,Ofilia Ramos,Ofilia Ramos,Ramos,Ofilia,Rosa Rodriguez,,,Interview with Ofilia Ramos,,Mexican American; family life; communities (social groups); immigration; railroad workers; farming (activity or system); Spanish (language); communities (inhabited places); education; Hispanic American;,December 1991,1991-12,"Idaho Falls, Idaho",43.49206,-112.0398889,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491_t19_ramosofilia_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491_t19_ramosofilia_th.jpg
,hohp023,hohp022,mg491_t19_ramosofilia,Ofilia Ramos Oral History Interview Audio,Ofilia Ramos,Ramos,Ofilia,Rosa Rodriguez,0:57:18,Transcribed by Otter.AI. Revised by Zoe Stave.,Audio of interview between Ofilia Ramos and Rosa Rodriguez.,objects/mg491_t19_ramosofilia_transcript_revised.md,Mexican American; family life; communities (social groups); immigration; railroad workers; farming (activity or system); Spanish (language); communities (inhabited places); education; Hispanic American;,December 1991,1991-12,"Idaho Falls, Idaho",43.49206,-112.0398889,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t19_ramosofilia.mp3,Sound,audio/mp3,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t19_ramosofilia.mp3,,
needs transcript,hohp024,,mg491_t20_rodriguezjoser,Jose R. Rodriguez Oral History Interview Audio,Jose R. Rodriguez,Rodriguez,Jose R.,Martha Torrez,2:01:18,,Audio of interview between Jose Rodriguez and Martha Torrez.,,Hispanic American; Spanish (language);,10 August 1991,1991-08-10,"Rupert, Idaho",42.61951081,-113.6764948,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t20_rodriguezjoser.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t20_rodriguezjoser.mp3,,
,hohp025,,,Antonio (Tony) H. Rodriguez,Antonio (Tony) H. Rodriguez,Rodriguez,Antonio (Tony) H.,Patricia McDaniel,,,Interview with Antonio (Tony) H. Rodriguez,,racial discrimination; discrimination; armed forces; military forces; education; Mexican American; Roman Catholicism; cultural holidays; Hispanic American;,5 November 1991,1991-11-05,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/antonio-hernandez-rodriguez-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/antonio-hernandez-rodriguez-portrait_th.jpg
